begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
9948;24.25,102.5;26.25,80;40,343.25;46.25,90.5;6.25,54;18,199.25;23.25,107.5;62,287.75
3602;37.75,103.75;41,70.25;41,344;41.25,72.75;6.25,50.25;10.5,199.75;23.25,107.5;62,287.75
1821;6.5,114.5;41,70.25;62.75,326.25;63.75,71;2,47.75;28.25,185.25;57,89.75;62,287.75
422;22.25,116.5;32.25,49.5;62.75,326.25;67,57.75;7.25,65;35,199.5;44.25,59.75;62,287.75
10352;22.25,116.5;32.25,49.5;62.75,326.25;65.5,57.25;4.75,51.25;35.25,201.25;58.5,48.75;63.75,299.25
11052;22.25,116.5;32.25,49.5;48.5,341;65.5,57.25;4.75,59.5;35.25,201.25;58.5,50.75;63.5,282.75
2907;4.75,106.5;38.75,50;49,343;65.5,57.25;4.75,59.5;38.25,224.25;41.25,24.5;63.5,282.75
7963;4.75,106.5;16.75,71.5;48,342.75;65.75,93.5;21,43;38.25,224.25;46.75,35.25;64.5,306.5
8103;9.25,100.5;13.25,50;61.75,327.25;65.75,93.5;17.75,64;36.5,229.75;46.75,35.25;59.75,337.5
2473;9.25,100.5;18.25,72.75;54.5,357.75;55.75,77.5;4.75,56;10.75,234.25;46.75,35.25;60.75,343
10718;3,89.25;18.25,72.75;33,360;55.75,77.5;6.25,91.25;13.75,274.75;19,30;60.75,343
918;11.75,58.5;38.75,78;48.5,356;64.75,58.25;6.25,91.25;13.75,274.75;18,47.25;50.5,312.75
10237;11.75,58.5;39.75,112.75;48.5,356;64.75,58.25;13,81;13.75,274.75;16.5,51.25;61,288.25
9645;37.75,52.5;46,116.5;48.5,356;65.25,58;13,81;23.5,275.25;26.25,32.75;61,288.25
9975;15.5,57.25;25,100.75;53.75,359;65.25,58;6.25,66;23.5,275.25;32.5,22;65.25,296
1596;39.5,78.75;42,87.75;53.5,359.5;64.75,58.25;10,59.25;26.5,272.25;32.5,22;65.25,296
5463;39.5,78.75;46.75,122.25;53.5,359.5;64.75,58.25;22.5,72.5;37.5,243.75;46.75,45.25;56.75,277
4043;6.25,73.25;46.75,122.25;50,355.75;66.25,94.75;9.25,59.5;27.5,275.25;46.75,45.25;63,291.75
10589;6.25,73.25;47.25,122.25;49.5,355.25;65.5,97.75;6.5,49.5;35,260;46.75,45.25;58.5,275.5
2385;9.25,82.25;21.75,114;50.25,354.75;59,125;6.5,49.5;25.5,276.25;46.75,45.25;60.25,280.75
5132;9.25,82.25;16.5,134;49.5,355.25;59,125;15,47.25;29.75,271.75;58.75,36.5;64.25,281.25
10826;9.25,82.25;20.75,136.5;49.5,355.25;59.5,125;15,47.25;24.5,264.5;45.25,59.75;63.75,296.75
1375;10,63.25;20.75,136.5;50.25,354.75;54.25,149.75;9.25,59;24.5,264.5;33.5,51.5;60.75,308.25
9309;10,63.25;16.25,157.5;53.75,353.5;54.25,149.75;5,58.75;30.25,274.75;31.25,54.25;42.25,315.75
2435;9.5,63.25;16.25,157.5;46,347.75;57,155.75;16,57.25;30.25,274.75;32,46.75;64.25,339.25
8166;9.5,63.25;13.75,165.5;18,347;64.75,167.5;20.5,64;30.25,274.75;32,46.75;53.5,363.75
10202;9.5,63.25;13.75,165.5;17,358.25;67.25,161.5;5.25,67;10.75,279;32,46.75;51.75,365.5
8659;9.5,63.25;9.75,135.5;16.75,359.25;67.25,161.5;6.75,79.25;25.25,260;32,46.75;39.25,360.25
9352;9.5,63.25;9.75,135.5;19.25,359;55,161.75;12.75,64;30.25,254.25;58.25,42;62.75,352
4754;9.5,63.25;9.75,135.5;19.25,359;64.75,176.25;14.25,29;14.75,252.5;25.5,54.5;61.5,363.5
