begin;0,0;0,374;72.25,0;72.25,374;0,0;0,374;72.25,0;72.25,374
5983;3,122.75;22,262;54.75,102;57.75,294.25;3.75,65.5;15,355.5;28.25,95;57.75,101.75
15832;3,119;50.75,257.25;54.75,102;58.25,294.25;1,80.5;15,355.5;40.5,80.25;53,116
7677;1.75,83.25;37.75,253.25;52.5,101;64.5,275.25;7.75,66.5;15,355.5;29.25,87;53,116
15577;1.75,83.25;50.5,269.75;52.75,100.25;63,283.25;6.75,46.75;19,361.5;42,76.75;53,116
283;1.75,83.25;50.25,267.75;55.75,84;60.5,282;12,36;19.5,368.25;24.25,86.5;53,116
1283;6.25,72.75;29.25,261.5;57.5,90;60.5,282;17.5,57.25;19.5,368.25;20.25,65.25;27,96.75
9017;2.5,47.25;24.75,297.75;43,121.25;60.5,282;9.75,57.25;19.5,368.25;20.25,65.25;59.75,80.75
7746;2.75,47.75;29.5,285;40,129.75;43,270.5;1.75,46.75;19.5,368.25;33.5,51.75;59.75,80.75
13677;2.75,47.75;23,257;25.25,115.75;47.25,244.75;6.75,55;19.5,368.25;45,48.75;59.75,80.75
4223;2.75,47.75;21.5,256.25;25.25,115.75;45,234.25;2,53.75;29.25,373.75;45,48.75;57.25,89.25
8059;2.75,47.75;22.5,262;39.25,148.5;45,234.25;26,59.5;29.25,373.75;50.5,68;58,67.75
237;14.75,72;22.5,262;38.75,164.5;58.25,214.25;13.25,54.75;42.25,371.75;50.5,68;59,69.75
1758;37,80;46.5,287;49.5,181.5;66.25,236.25;13.25,54.75;42,373.25;50.5,68;59,69.75
9740;24.75,114.25;46.75,306;49.5,181.5;66.25,236.25;5.25,43;38,372.25;59,68.75;66,90.25
13895;0.5,117.25;22.25,311.75;26.25,208.25;66.25,236.25;9.5,57.25;20,365.5;37,69.25;66,90.25
4986;18.5,94.25;19.25,284.75;26.25,208.25;42,256.5;6,48;10,336;20.75,86.5;66,90.25
6906;20.25,106.75;25,291;26.25,208.25;33.25,285;6,48;9.5,335.5;24.75,94.25;58,87.75
8605;24.25,107.75;25,291;39,234.25;63,275.25;6,48;9.5,335.5;41.5,72.25;62.25,77.75
15468;17,134;32.75,311.5;39,234.25;63,275.25;5,57.25;9.5,335.5;26,56;45.5,78.75
15400;17,134;40.75,302;56.5,239.25;63,275.25;0.25,39.75;1.75,315.5;7.75,64;45.5,78.75
7889;33,115.75;38.5,302.5;47.5,254.75;66.5,302.75;0.25,39.75;1.75,315.5;7.75,64;22.5,95
5347;38.25,119.75;44.25,327.5;47.5,254.75;66.5,302.75;2,39.5;3.5,283.25;6.75,65.75;26.25,92.25
1183;38.25,119.75;38.75,316.75;40.5,254.75;54.25,282;2,39.5;7.25,251;8.5,56.25;26.25,92.25
12912;38.25,119.75;38.75,316.75;45.25,278.25;50.25,254.25;2,39.5;7.75,249.25;24.25,55.75;26.25,92.25
11022;24.75,115;37,303.25;45.75,268.75;50.25,254.25;0.75,39.25;1.5,232.5;24.25,55.75;26.25,124.5
10344;1.75,106.5;16.75,287.25;50.5,255.75;62.75,229.25;0.75,39.25;1.5,232.5;16,47.5;22.25,124.5
11757;13.5,133.75;31,268.75;40.25,282.5;62.75,229.25;2.75,35.25;7,222;7.25,37.25;22.25,124.5
15868;3,147.75;31,268.75;32,306.25;54.25,225.5;3.5,35.5;7,196.25;18.25,55;22.25,124.5
116;13,141;25.5,302.25;37.5,315.5;54.25,225.5;3.5,35.5;7,196.25;14,50;26.25,122.25
1375;13,140.5;29.5,305.5;43.75,323.5;54.25,225.5;3.5,35.5;7,196.25;13.5,51.5;16.25,94.5
2255;6.5,134.75;16.25,310;43.75,323.5;68.75,226;3.5,35.5;7,196.25;22.75,54;29,88.5
3878;21.25,112.75;23.75,303;31.75,310;68.75,226;3.25,36.25;7,196.25;14.5,56.25;19,73
2352;18.75,132.25;23.75,303;48.75,302.25;68.75,226;9.5,7.25;12,197.75;15,55;20.75,51.5
10858;17.75,131.75;21.5,306;43.5,321.75;50,253.75;7.5,7.5;12,197.75;15,55;20.75,51.5
12345;17.75,136.5;24,314.5;38,334.25;50,253.75;6.75,4;12,197.75;16.25,56.25;54.75,37.25
2348;6.5,153.25;24,314.5;38.5,334.25;39,253.75;1.75,3.75;17.25,201.25;20.75,64;54.75,37.25
7179;7.5,175.25;25.25,302.25;40,307;55,238;1.75,3.75;17.25,201.25;20.5,66;54.75,37.25
10088;11.5,176.5;32.75,309.75;46.75,306;55,238;1,11.25;16.5,202;20.5,66;45.75,36.75
11617;9.5,169;17,313.5;39.75,332.75;55.5,237.5;1,11.25;17.5,198.25;20.5,66;62.5,15.5
7871;9.25,199.75;29.75,313.5;33.5,305.5;55.25,236.75;1.75,8.75;17.5,198.25;20.5,66;35.5,10.75
1463;9.25,199.75;34.25,303.5;40.75,275;53,257.25;0.75,8.75;17.25,201.25;20.5,66;26.5,9
14715;10,165.5;34.25,303.5;40.75,275;45,234.25;0.75,8.75;17.25,201.25;17.5,55.25;31.5,22.25
12593;31.75,147.5;34.25,303.5;41.25,255;50.5,253.25;0.75,8.75;17.25,201.25;23.5,75.5;51.25,31.5
16510;31.75,147.5;34.25,303.5;40.25,257;49.5,252;0.75,8.75;22.5,200.5;23.5,75.5;47.75,50.25
12260;18,132;40.75,290.25;41.25,256.75;49.5,252;0.75,8.75;7.5,199.25;22.25,75.75;47.75,50.25
3229;26.25,143.5;36,268.25;46,253.5;62,263.75;0.75,8.75;4.75,173.25;14.25,67.5;47.75,50.25
2330;20.25,133.25;24,253.25;46,253.5;63.5,260.75;2,11.25;4.75,173.25;6.5,50.5;21.75,42.5
14814;20,137;33.25,253.5;46,253.5;64.5,270.25;0.75,11.5;4.75,173.25;6,55.5;6.5,48.25
2188;6,160;20,243.5;34.25,253.75;64.5,270.25;0.75,11.5;19,198.25;24.25,51;24.5,56
8794;12.5,159.75;13.25,239;15.25,258;66.75,242.25;17.5,7.25;18,168.75;24.25,51;24.5,56
13443;11.5,160.25;13.25,239;27,263.25;66.75,242.25;11.5,36.25;14.25,139;16.5,49.75;20,82.25
15181;11.5,160.25;13.25,239;45.75,231.25;69.25,229.25;11.5,36.25;19.25,147.75;21.25,83;30,52
1767;11.5,160.25;31.5,216.75;39.75,255;69.25,229.25;16,59.5;19.25,147.75;27.25,87.5;44.75,42.25
7622;30.5,159.5;31.5,216.75;53,255.75;69.25,229.25;7.5,52;17.25,146.25;27.25,88.75;41,38.25
9029;30.5,159.5;31.5,216.75;42.5,255.25;69.25,229.25;15,55;24.75,122.25;31.5,95;65,31.75
5144;23,136.5;53.5,200.25;63,258.5;69.25,229.25;6,56;26.25,122.25;36,80.25;65,31.75
2815;17.75,120;32,180;62,255.75;69.25,229.25;17.25,66;26.25,122.25;33.5,87;58.75,35.75
6800;27.5,94.25;31.25,181.75;45.25,272.25;69.25,229.25;13.25,41;26.25,122.25;58,101.25;65.5,53.5
415;28.25,80;29.25,160.75;41.75,302.25;69.25,229.25;11.5,42;18.75,148.75;49,79.75;65.5,53.5
6668;29.25,51.5;29.75,160.75;42.25,296.25;69.25,229.25;6.25,56.5;16.25,149.25;65.5,53.5;65.75,76.25
8645;29.25,51.5;30.75,181.5;41,303.5;69.25,229.25;25.5,55.75;26.25,149.5;51.25,33;60.25,82.75
